year,month,date,day_of_week,count
1996,Mar,28, Thu ,42548
1996,Mar,29, Fri ,104443
1996,Mar,30, Sat ,98792
1996,Mar,31, Sun ,84931
1996,Apr,1, Mon ,50126
1996,Apr,2, Tue ,63072
1996,Apr,3, Wed ,58997
1996,Apr,4, Thu ,69296
1996,Apr,5, Fri ,45912
1996,Apr,6, Sat ,44695
1996,Apr,7, Sun ,68216
1996,Apr,8, Mon ,37145
1996,Apr,9, Tue ,38902
1996,Apr,10, Wed ,38712
1996,Apr,11, Thu ,38161
1996,Apr,12, Fri ,38284
1996,Apr,13, Sat ,43516
1996,Apr,14, Sun ,58425
1996,Apr,15, Mon ,39835
1996,Apr,16, Tue ,40363
1996,Apr,17, Wed ,39125
1996,Apr,18, Thu ,36424
1996,Apr,19, Fri ,34832
1996,Apr,20, Sat ,42750
1996,Apr,21, Sun ,66960
1996,Apr,22, Mon ,36549
1996,Apr,23, Tue ,39162
1996,Apr,24, Wed ,40772
1996,Apr,25, Thu ,38683
1996,Apr,26, Fri ,39188
1996,Apr,27, Sat ,48587
1996,Apr,28, Sun ,58230
1996,Apr,29, Mon ,37865
1996,Apr,30, Tue ,37777
1996,May,1, Wed ,42742
1996,May,2, Thu ,36867
1996,May,3, Fri ,39117
1996,May,4, Sat ,43875
1996,May,5, Sun ,36424
1996,May,6, Mon ,38561
1996,May,7, Tue ,37282
1996,May,8, Wed ,39180
1996,May,9, Thu ,38554
1996,May,10, Fri ,39169
1996,May,11, Sat ,42254
1996,May,12, Sun ,47772
1996,May,13, Mon ,37580
1996,May,14, Tue ,37942
1996,May,15, Wed ,37724
1996,May,16, Thu ,40029
1996,May,17, Fri ,40618
1996,May,18, Sat ,47264
1996,May,19, Sun ,61044
1996,May,20, Mon ,49848
1996,May,21, Tue ,30244
1996,May,22, Wed ,36183
1996,May,23, Thu ,33858
1996,May,24, Fri ,34568
1996,May,25, Sat ,37439
1996,May,26, Sun ,37524
1996,May,27, Mon ,34066
1996,May,28, Tue ,32415
1996,May,29, Wed ,34878
1996,May,30, Thu ,35561
1996,May,31, Fri ,35817
1996,Jun,1, Sat ,37267
1996,Jun,2, Sun ,40946
1996,Jun,3, Mon ,25812
1996,Jun,4, Tue ,31282
1996,Jun,5, Wed ,31494
1996,Jun,6, Thu ,31903
1996,Jun,7, Fri ,32528
1996,Jun,8, Sat ,35280
1996,Jun,9, Sun ,30267
1996,Jun,10, Mon ,32501
1996,Jun,11, Tue ,32789
1996,Jun,12, Wed ,32961
1996,Jun,13, Thu ,32507
1996,Jun,14, Fri ,28029
1996,Jun,15, Sat ,32442
1996,Jun,16, Sun ,25039
1996,Jun,17, Mon ,31469
1996,Jun,18, Tue ,31279
1996,Jun,19, Wed ,33132
1996,Jun,20, Thu ,20532
1996,Jun,21, Fri ,31983
1996,Jun,22, Sat ,35776
1996,Jun,23, Sun ,29349
1996,Jun,24, Mon ,31409
1996,Jun,25, Tue ,32138
1996,Jun,26, Wed ,31638
1996,Jun,27, Thu ,32266
1996,Jun,28, Fri ,32962
1996,Jun,29, Sat ,36402
1996,Jun,30, Sun ,33214
1996,Jul,1, Mon ,35180
1996,Jul,2, Tue ,37747
1996,Jul,3, Wed ,38161
1996,Jul,4, Thu ,38462
1996,Jul,5, Fri ,39048
1996,Jul,6, Sat ,39308
1996,Jul,7, Sun ,37867
1996,Jul,8, Mon ,39457
1996,Jul,9, Tue ,40516
1996,Jul,10, Wed ,38142
1996,Jul,11, Thu ,41162
1996,Jul,12, Fri ,35184
1996,Jul,13, Sat ,34636
1996,Jul,14, Sun ,37749
1996,Jul,15, Mon ,34346
1996,Jul,16, Tue ,35870
1996,Jul,17, Wed ,37607
1996,Jul,18, Thu ,39857
1996,Jul,19, Fri ,39802
1996,Jul,20, Sat ,36108
1996,Jul,21, Sun ,33290
1996,Jul,22, Mon ,35166
1996,Jul,23, Tue ,36892
1996,Jul,24, Wed ,35867
1996,Jul,25, Thu ,33860
1996,Jul,26, Fri ,27371
1996,Jul,27, Sat ,35514
1996,Jul,28, Sun ,35318
1996,Jul,29, Mon ,37711
1996,Jul,30, Tue ,34118
1996,Jul,31, Wed ,1287
1996,Aug,1, Thu ,11024
1996,Aug,2, Fri ,37238
1996,Aug,3, Sat ,39323
1996,Aug,4, Sun ,40398
1996,Aug,5, Mon ,39611
1996,Aug,6, Tue ,40968
1996,Aug,7, Wed ,40823
1996,Aug,8, Thu ,41100
1996,Aug,9, Fri ,40198
1996,Aug,10, Sat ,46896
1996,Aug,11, Sun ,54048
1996,Aug,12, Mon ,42701
1996,Aug,13, Tue ,44665
1996,Aug,14, Wed ,37501
1996,Aug,15, Thu ,39764
1996,Aug,16, Fri ,45747
1996,Aug,17, Sat ,46990
1996,Aug,18, Sun ,53610
1996,Aug,19, Mon ,43345
1996,Aug,20, Tue ,46614
1996,Aug,21, Wed ,38669
1996,Aug,22, Thu ,45525
1996,Aug,23, Fri ,44867
1996,Aug,24, Sat ,46674
1996,Aug,25, Sun ,52244
1996,Aug,26, Mon ,42336
1996,Aug,27, Tue ,41814
1996,Aug,28, Wed ,35762
1996,Aug,29, Thu ,39157
1996,Aug,30, Fri ,39308
1996,Aug,31, Sat ,37105
1996,Sep,1, Sun ,37241
1996,Sep,2, Mon ,36222
1996,Sep,3, Tue ,37159
1996,Sep,4, Wed ,37003
1996,Sep,5, Thu ,37440
1996,Sep,6, Fri ,37423
1996,Sep,7, Sat ,39187
1996,Sep,8, Sun ,30133
1996,Sep,9, Mon ,36132
1996,Sep,10, Tue ,36682
1996,Sep,11, Wed ,37431
1996,Sep,12, Thu ,36556
1996,Sep,13, Fri ,37591
1996,Sep,14, Sat ,40035
1996,Sep,15, Sun ,35303
1996,Sep,16, Mon ,37846
1996,Sep,17, Tue ,37575
1996,Sep,18, Wed ,38401
1996,Sep,19, Thu ,38133
1996,Sep,20, Fri ,38103
1996,Sep,21, Sat ,42622
1996,Sep,22, Sun ,49582
1996,Sep,23, Mon ,38245
1996,Sep,24, Tue ,38920
1996,Sep,25, Wed ,43448
1996,Sep,26, Thu ,43140
1996,Sep,27, Fri ,29648
1996,Sep,28, Sat ,22177
1996,Sep,29, Sun ,25898
1996,Sep,30, Mon ,38218
1996,Oct,1, Tue ,38401
1996,Oct,2, Wed ,39069
1996,Oct,3, Thu ,39685
1996,Oct,4, Fri ,39511
1996,Oct,5, Sat ,42023
